list,price,week on list,previous rank,ISBN,title,authors,Rank,weeks
Early & Middle,16.99,,,9781524720193,Wonder,R.J. Palacio,1,01-03-18
Early & Middle,8.99,,,9781250153272,A Wrinkle in Time,Madeleine L'Engle,2,01-03-18
Early & Middle,16.99,,,9781101934852,Auggie & Me,R.J. Palacio,3,01-03-18
Early & Middle,16.95,,,9781616205676,The Girl Who Drank the Moon,Kelly Barnhill,4,01-03-18
Early & Middle,12.99,,,9780525429999,All's Faire in Middle School,Victoria Jamieson,5,01-03-18
Early & Middle,10.99,,,9780545326995,Drama,Raina Telgemeier,6,01-03-18
Early & Middle,22.99,,,9781465455512,Star Wars the Last Jedi: The Visual Dictionary,Pablo Hidalgo,7,01-03-18
Early & Middle,10.99,,,9780545132060,Smile,Raina Telgemeier,8,01-03-18
Early & Middle,8.99,,,9780147510488,The War That Saved My Life,Kimberly Brubaker Bradley,9,01-03-18
Early & Middle,10.99,,,9780545540629,Ghosts,Raina Telgemeier,10,01-03-18
Early & Middle,16.99,,,9781250043221,Wishtree,Katherine Applegate,11,01-03-18
Early & Middle,9.99,,,9780399559181,365 Days of Wonder: Mr. Browne's Precepts,R.J. Palacio,12,01-03-18
Early & Middle,17.99,,,9780316508889,Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,13,01-03-18
Early & Middle,10.99,,,9780545540605,Sisters,Raina Telgemeier,14,01-03-18
Early & Middle,21.99,,,9780316514392,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,Pete Souza,15,01-03-18
Early & Middle,8.99,,,9781250153272,A Wrinkle in Time,Madeleine L'Engle,1,01-10-18
Early & Middle,16.99,,,9781524720193,Wonder,R.J. Palacio,2,01-10-18
Early & Middle,16.99,,,9781101934852,Auggie & Me,R.J. Palacio,3,01-10-18
Early & Middle,16.95,,,9781616205676,The Girl Who Drank the Moon,Kelly Barnhill,4,01-10-18
Early & Middle,12.99,,,9780525429999,All's Faire in Middle School,Victoria Jamieson,5,01-10-18
Early & Middle,10.99,,,9780545326995,Drama,Raina Telgemeier,6,01-10-18
Early & Middle,8.99,,,9780147510488,The War That Saved My Life,Kimberly Brubaker Bradley,7,01-10-18
Early & Middle,10.99,,,9780545132060,Smile,Raina Telgemeier,8,01-10-18
Early & Middle,9.99,,,9780399559181,365 Days of Wonder: Mr. Browne's Precepts,R.J. Palacio,9,01-10-18
Early & Middle,10.99,,,9780545540605,Sisters,Raina Telgemeier,10,01-10-18
Early & Middle,21.99,,,9780316514392,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,Pete Souza,11,01-10-18
Early & Middle,16.99,,,9780525429203,The War I Finally Won,Kimberly Brubaker Bradley,12,01-10-18
Early & Middle,16.99,,,9781250043221,Wishtree,Katherine Applegate,13,01-10-18
Early & Middle,12.99,,,9781626727854,Real Friends,Shannon Hale & LeUyen Pham (Illus.),14,01-10-18
Early & Middle,12.99,,,9780803740167,Roller Girl,Victoria Jamieson,15,01-10-18
Early & Middle,8.99,,,9781250153272,A Wrinkle in Time,Madeleine L'Engle,1,01-17-18
Early & Middle,16.99,,,9781524720193,Wonder,R.J. Palacio,2,01-17-18
Early & Middle,16.99,,,9781101934852,Auggie & Me,R.J. Palacio,3,01-17-18
Early & Middle,12.99,,,9780525429999,All's Faire in Middle School,Victoria Jamieson,4,01-17-18
Early & Middle,16.95,,,9781616205676,The Girl Who Drank the Moon,Kelly Barnhill,5,01-17-18
Early & Middle,8.99,,,9780147510488,The War That Saved My Life,Kimberly Brubaker Bradley,6,01-17-18
Early & Middle,16.99,,,9781250043221,Wishtree,Katherine Applegate,7,01-17-18
Early & Middle,21.99,,,9780316514392,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,Pete Souza,8,01-17-18
Early & Middle,16.99,,,9780525429203,The War I Finally Won,Kimberly Brubaker Bradley,9,01-17-18
Early & Middle,12.99,,,9780803740167,Roller Girl,Victoria Jamieson,10,01-17-18
Early & Middle,16.99,,,9780062377012,Pax,Sara Pennypacker & Jon Klassen (Illus.),11,01-17-18
Early & Middle,10.99,,,9780545326995,Drama,Raina Telgemeier,12,01-17-18
Early & Middle,10.99,,,9780545540605,Sisters,Raina Telgemeier,13,01-17-18
Early & Middle,16.99,,,9780316475112,Little Leaders: Bold Women in Black History,Vashti Harrison,14,01-17-18
Early & Middle,10.99,,,9780545540629,Ghosts,Raina Telgemeier,15,01-17-18
Early & Middle,8.99,,,9781250153272,A Wrinkle in Time,Madeleine L'Engle,1,01-24-18
Early & Middle,16.99,,,9781524720193,Wonder,R.J. Palacio,2,01-24-18
Early & Middle,10.99,,,9780545326995,Drama,Raina Telgemeier,3,01-24-18
Early & Middle,16.99,,,9781101934852,Auggie & Me,R.J. Palacio,4,01-24-18
Early & Middle,8.99,,,9780147510488,The War That Saved My Life,Kimberly Brubaker Bradley,5,01-24-18
Early & Middle,16.99,,,9780316475112,Little Leaders: Bold Women in Black History,Vashti Harrison,6,01-24-18
Early & Middle,16.95,,,9781616205676,The Girl Who Drank the Moon,Kelly Barnhill,7,01-24-18
Early & Middle,12.99,,,9780525429999,All's Faire in Middle School,Victoria Jamieson,8,01-24-18
Early & Middle,10.99,,,9780545132060,Smile,Raina Telgemeier,9,01-24-18
Early & Middle,10.99,,,9780545540605,Sisters,Raina Telgemeier,10,01-24-18
Early & Middle,21.99,,,9780316514392,Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,Pete Souza,11,01-24-18
Early & Middle,16.99,,,9780525429203,The War I Finally Won,Kimberly Brubaker Bradley,12,01-24-18
Early & Middle,16.99,,,9781250043221,Wishtree,Katherine Applegate,13,01-24-18
Early & Middle,10.99,,,9780545540629,Ghosts,Raina Telgemeier,14,01-24-18
Early & Middle,17.99,,,9780316508889,Nevermoor: The Trials of Morrigan Crow,Jessica Townsend,15,01-24-18
Early & Middle,8.99,,,9781250153272,A Wrinkle in Time,Madeleine L'Engle,1,01-31-18
Early & Middle,16.99,,,9781524720193,Wonder,R.J. Palacio,2,01-31-18
Early & Middle,16.99,,,9781101934852,Auggie & Me,R.J. Palacio,3,01-31-18
Early & Middle,8.99,,,9780147510488,The War That Saved My Life,Kimberly Brubaker Bradley,4,01-31-18
Early & Middle,16.95,,,9781616205676,The Girl Who Drank the Moon,Kelly Barnhill,5,01-31-18
